pokemon_id,species_key,form_key,name_en,name_es,form_name_en,form_name_es,type1_key,type2_key,tier_value,roles,roles_es,archetypes,archetypes_es
952,scovillain,,Scovillain,Scovillain,,,grass,fire,A,Bulky Support,Soporte Resistente,Sun,Sol
956,espathra,,Espathra,Espathra,,,psychic,,B,"Bulky Support, Pivot, Speed Control, Trick Room Setter","Soporte Resistente, Pivot, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
959,tinkaton,,Tinkaton,Tinkaton,,,fairy,steel,B,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Balance,Balance
964,palafin,,Palafin,Palafin,,,water,,A,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Offense,Ofensiva
968,orthworm,,Orthworm,Orthworm,,,steel,,B,Bulky Support,Soporte Resistente,Balance,Balance
970,glimmora,,Glimmora,Glimmora,,,rock,poison,A,Wallbreaker,Muroperforador,Sand,Arena
981,farigiraf,,Farigiraf,Farigiraf,,,normal,psychic,A,"Bulky Support, Speed Control, Trick Room Setter","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro","Sun, Trick Room","Sol, Espacio Raro"
983,kingambit,,Kingambit,Kingambit,,,dark,steel,S,"Bulky Support, Speed Control, Wallbreaker","Soporte Resistente, Control de Velocidad, Muroperforador",Trick Room,Espacio Raro
1013,sinistcha,,Sinistcha,Sinistcha,,,grass,ghost,S,"Bulky Support, Speed Control, Trick Room Setter, Wallbreaker","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro, Muroperforador","Sand, Trick Room","Arena, Espacio Raro"
1018,archaludon,,Archaludon,Archaludon,,,steel,dragon,S,"Bulky Support, Speed Control, Wallbreaker","Soporte Resistente, Control de Velocidad, Muroperforador",Rain,Lluvia
1019,hydrapple,,Hydrapple,Hydrapple,,,grass,dragon,D,"Bulky Support, Pivot, Wallbreaker","Soporte Resistente, Pivot, Muroperforador",Trick Room,Espacio Raro
10008,rotom,heat-rotom,Rotom,Rotom,Heat Rotom,Heat Rotom,electric,fire,B,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Balance,Balance
10009,rotom,wash-rotom,Rotom,Rotom,Wash Rotom,Wash Rotom,electric,water,S,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Hyper Offense,Hiperofensiva
10010,rotom,frost-rotom,Rotom,Rotom,Frost Rotom,Frost Rotom,electric,ice,B,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Balance,Balance
10011,rotom,fan-rotom,Rotom,Rotom,Fan Rotom,Fan Rotom,electric,flying,B,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Balance,Balance
10012,rotom,mow-rotom,Rotom,Rotom,Mow Rotom,Mow Rotom,electric,grass,A,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Balance,Balance
10100,raichu,alolan-raichu,Raichu,Raichu,Alolan Raichu,Alolan Raichu,electric,psychic,B,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Offense,Ofensiva
10104,ninetales,alolan-ninetales,Ninetales,Ninetales,Alolan Ninetales,Alolan Ninetales,ice,fairy,B,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Offense,Ofensiva
10165,slowbro,galarian-slowbro,Slowbro,Slowbro,Galarian Slowbro,Galarian Slowbro,poison,psychic,B,"Bulky Support, Pivot, Speed Control, Trick Room Setter","Soporte Resistente, Pivot, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
10172,slowking,galarian-slowking,Slowking,Slowking,Galarian Slowking,Galarian Slowking,poison,psychic,B,"Bulky Support, Pivot, Speed Control, Trick Room Setter","Soporte Resistente, Pivot, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
10180,stunfisk,galarian-stunfisk,Stunfisk,Stunfisk,Galarian Stunfisk,Galarian Stunfisk,ground,steel,C,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Trick Room,Espacio Raro
10230,arcanine,hisuian-arcanine,Arcanine,Arcanine,Hisuian Arcanine,Hisuian Arcanine,fire,rock,B,"Bulky Support, Pivot","Soporte Resistente, Pivot",Balance,Balance
10233,typhlosion,hisuian-typhlosion,Typhlosion,Typhlosion,Hisuian Typhlosion,Hisuian Typhlosion,fire,ghost,B,Bulky Support,Soporte Resistente,Offense,Ofensiva
10236,samurott,hisuian-samurott,Samurott,Samurott,Hisuian Samurott,Hisuian Samurott,water,dark,B,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Balance,Balance
10239,zoroark,hisuian-zoroark,Zoroark,Zoroark,Hisuian Zoroark,Hisuian Zoroark,normal,ghost,B,"Bulky Support, Pivot, Speed Control, Wallbreaker","Soporte Resistente, Pivot, Control de Velocidad, Muroperforador",Offense,Ofensiva
10242,goodra,hisuian-goodra,Goodra,Goodra,Hisuian Goodra,Hisuian Goodra,steel,dragon,A,"Bulky Support, Wallbreaker","Soporte Resistente, Muroperforador",Balance,Balance
10244,decidueye,hisuian-decidueye,Decidueye,Decidueye,Hisuian Decidueye,Hisuian Decidueye,grass,fighting,C,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Tailwind,Viento Afn
10245,avalugg,hisuian-avalugg,Avalugg,Avalugg,Hisuian Avalugg,Hisuian Avalugg,ice,rock,D,"Bulky Support, Speed Control, Wallbreaker","Soporte Resistente, Control de Velocidad, Muroperforador",Trick Room,Espacio Raro
10250,tauros,paldean-tauros,Tauros,Tauros,Paldean Tauros,Paldean Tauros,fighting,,B,Pivot,Pivot,Offense,Ofensiva
10251,tauros,paldean-tauros-blaze,Tauros,Tauros,Paldean Tauros (Blaze),Paldean Tauros (Blaze),fighting,fire,B,"Bulky Support, Pivot","Soporte Resistente, Pivot",Offense,Ofensiva
10252,tauros,paldean-tauros-aqua,Tauros,Tauros,Paldean Tauros (Aqua),Paldean Tauros (Aqua),fighting,water,B,Pivot,Pivot,Offense,Ofensiva
10678,meowstic,meowstic-f,Meowstic,Meowstic,Meowstic-F,Meowstic-F,psychic,,B,"Bulky Support, Pivot, Speed Control, Trick Room Setter","Soporte Resistente, Pivot, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
10902,basculegion,basculegion-f,Basculegion,Basculegion,Basculegion-F,Basculegion-F,water,ghost,B,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Balance,Balance
